gsm,type,geo_id,platform.new,drug_name,DiseaseState,cell_type,TissueID,TissueName,ale_text_sex,ale_expr_sex,ale_expr_sex_post,cell_line
GSM1230586,ctrl,GSE50830,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",,female,0.667089811,NA
GSM1230587,ctrl,GSE50830,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",,female,0.623447177,NA
GSM1230588,ctrl,GSE50830,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",,female,0.586797818,NA
GSM1672065,ctrl,GSE68453,GPL10558,,NA,Cultured Cell Line,NA,NA,NA,NA,NA,NA
GSM1672082,ctrl,GSE68453,GPL10558,,NA,Cultured Cell Line,NA,NA,NA,NA,NA,NA
GSM1672095,ctrl,GSE68453,GPL10558,,NA,Cultured Cell Line,NA,NA,NA,NA,NA,NA
GSM1624786,ctrl,GSE66549,GPL6244,cisplatin|N(6)-(1-carboxyethyl)-L-lysine|platinum,1,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Squamous epithelial cell,0,"tissues, cell types and enzyme sources",,female,0.992655427,NA
GSM1624787,ctrl,GSE66549,GPL6244,cisplatin|N(6)-(1-carboxyethyl)-L-lysine|platinum,1,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Squamous epithelial cell,0,"tissues, cell types and enzyme sources",,female,0.989210482,NA
GSM824443,ctrl,GSE33340,GPL6883,inhibitor|ligand,0,Body tissue|Cells [Chemical/Ingredient]|Cultured Cell Line|Entire breast|Epithelial Cells,149,breast,,NA,NA,FALSE
GSM824444,ctrl,GSE33340,GPL6883,inhibitor|ligand,0,Body tissue|Cells [Chemical/Ingredient]|Cultured Cell Line|Entire breast|Epithelial Cells,149,breast,,NA,NA,FALSE
GSM824424,ctrl,GSE33340,GPL6883,inhibitor|ligand,0,Body tissue|Cells [Chemical/Ingredient]|Cultured Cell Line|Entire breast|Epithelial Cells,149,breast,,NA,NA,FALSE
GSM824427,ctrl,GSE33340,GPL6883,inhibitor|ligand,0,Body tissue|Cells [Chemical/Ingredient]|Cultured Cell Line|Entire breast|Epithelial Cells,149,breast,,NA,NA,FALSE
GSM824429,ctrl,GSE33340,GPL6883,inhibitor|ligand,0,Body tissue|Cells [Chemical/Ingredient]|Cultured Cell Line|Entire breast|Epithelial Cells,149,breast,,NA,NA,FALSE
GSM824431,ctrl,GSE33340,GPL6883,inhibitor|ligand,0,Body tissue|Cells [Chemical/Ingredient]|Cultured Cell Line|Entire breast|Epithelial Cells,149,breast,,NA,NA,FALSE
GSM824435,ctrl,GSE33340,GPL6883,inhibitor|ligand,0,Body tissue|Cells [Chemical/Ingredient]|Cultured Cell Line|Entire breast|Epithelial Cells,149,breast,,NA,NA,FALSE
GSM824439,ctrl,GSE33340,GPL6883,inhibitor|ligand,0,Body tissue|Cells [Chemical/Ingredient]|Cultured Cell Line|Entire breast|Epithelial Cells,149,breast,,NA,NA,FALSE
GSM824440,ctrl,GSE33340,GPL6883,inhibitor|ligand,0,Body tissue|Cells [Chemical/Ingredient]|Cultured Cell Line|Entire breast|Epithelial Cells,149,breast,,NA,NA,FALSE
GSM1311090,ctrl,GSE54254,GPL13158,antioxidant|carbamazepine|diclofenac|dimethyl sulfoxide|DNA damage-inducible transcript 3 protein|L-proline residue|methotrexate|protein polypeptide chain,0,Cultured Cell Line|Endoplasmic Reticulum|Entire cell|Entire liver|Hep G2 Cells|Hepatocyte|Malignant Epithelial Cell,0,"tissues, cell types and enzyme sources",M,NA,NA,NA
GSM1311116,ctrl,GSE54254,GPL13158,antioxidant|carbamazepine|diclofenac|dimethyl sulfoxide|DNA damage-inducible transcript 3 protein|L-proline residue|methotrexate|protein polypeptide chain,0,Cultured Cell Line|Endoplasmic Reticulum|Entire cell|Entire liver|Hep G2 Cells|Hepatocyte|Malignant Epithelial Cell,0,"tissues, cell types and enzyme sources",M,NA,NA,NA
GSM1311142,ctrl,GSE54254,GPL13158,antioxidant|carbamazepine|diclofenac|dimethyl sulfoxide|DNA damage-inducible transcript 3 protein|L-proline residue|methotrexate|protein polypeptide chain,0,Cultured Cell Line|Endoplasmic Reticulum|Entire cell|Entire liver|Hep G2 Cells|Hepatocyte|Malignant Epithelial Cell,0,"tissues, cell types and enzyme sources",M,NA,NA,NA
GSM1311168,ctrl,GSE54254,GPL13158,antioxidant|carbamazepine|diclofenac|dimethyl sulfoxide|DNA damage-inducible transcript 3 protein|L-proline residue|methotrexate|protein polypeptide chain,0,Cultured Cell Line|Endoplasmic Reticulum|Entire cell|Entire liver|Hep G2 Cells|Hepatocyte|Malignant Epithelial Cell,0,"tissues, cell types and enzyme sources",M,NA,NA,NA
GSM1230881,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.835667582,NA
GSM1230882,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.811957439,NA
GSM1230883,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.822848184,NA
GSM360270,ctrl,GSE14427,GPL6102,retinoic acid,0,Cells [Chemical/Ingredient],2316,stellate cell,,NA,NA,FALSE
GSM360271,ctrl,GSE14427,GPL6102,retinoic acid,0,Cells [Chemical/Ingredient],2316,stellate cell,,NA,NA,FALSE
GSM360272,ctrl,GSE14427,GPL6102,retinoic acid,0,Cells [Chemical/Ingredient],2316,stellate cell,,NA,NA,FALSE
GSM360068,ctrl,GSE14808,GPL2895,17beta-estradiol|dextran|medroxyprogesterone acetate|penicillin|puromycin|streptomycin,0,Cells [Chemical/Ingredient]|Cultured Cell Line|Fetus|Monocytes|Serum|Stromal Cells,316,culture medium,,NA,NA,FALSE
GSM360069,ctrl,GSE14808,GPL2895,17beta-estradiol|dextran|medroxyprogesterone acetate|penicillin|puromycin|streptomycin,0,Cells [Chemical/Ingredient]|Cultured Cell Line|Fetus|Monocytes|Serum|Stromal Cells,316,culture medium,,NA,NA,FALSE
GSM1820064,ctrl,GSE70821,GPL6480,,0,Body tissue|Cells|macrophage|Monocytes|peripheral blood|whole blood specimen,89,blood,F,NA,NA,FALSE
GSM1820068,ctrl,GSE70821,GPL6480,,0,Body tissue|Cells|macrophage|Monocytes|peripheral blood|whole blood specimen,89,blood,F,NA,NA,FALSE
GSM198900,ctrl,GSE8057,GPL8300,cisplatin|oxaliplatin|platinum,1,"Cells [Chemical/Ingredient]|Ovarian|Tumor cells, malignant",1023,ovary cancer cell,F,NA,NA,FALSE
GSM198901,ctrl,GSE8057,GPL8300,cisplatin|oxaliplatin|platinum,1,"Cells [Chemical/Ingredient]|Ovarian|Tumor cells, malignant",1023,ovary cancer cell,F,NA,NA,FALSE
GSM1311091,ctrl,GSE54254,GPL13158,antioxidant|carbamazepine|diclofenac|dimethyl sulfoxide|DNA damage-inducible transcript 3 protein|L-proline residue|protein polypeptide chain,0,Cultured Cell Line|Endoplasmic Reticulum|Entire cell|Entire liver|Hep G2 Cells|Hepatocyte|Malignant Epithelial Cell,0,"tissues, cell types and enzyme sources",M,NA,NA,NA
GSM1311117,ctrl,GSE54254,GPL13158,antioxidant|carbamazepine|diclofenac|dimethyl sulfoxide|DNA damage-inducible transcript 3 protein|L-proline residue|protein polypeptide chain,0,Cultured Cell Line|Endoplasmic Reticulum|Entire cell|Entire liver|Hep G2 Cells|Hepatocyte|Malignant Epithelial Cell,0,"tissues, cell types and enzyme sources",M,NA,NA,NA
GSM1311143,ctrl,GSE54254,GPL13158,antioxidant|carbamazepine|diclofenac|dimethyl sulfoxide|DNA damage-inducible transcript 3 protein|L-proline residue|protein polypeptide chain,0,Cultured Cell Line|Endoplasmic Reticulum|Entire cell|Entire liver|Hep G2 Cells|Hepatocyte|Malignant Epithelial Cell,0,"tissues, cell types and enzyme sources",M,NA,NA,NA
GSM1311169,ctrl,GSE54254,GPL13158,antioxidant|carbamazepine|diclofenac|dimethyl sulfoxide|DNA damage-inducible transcript 3 protein|L-proline residue|protein polypeptide chain,0,Cultured Cell Line|Endoplasmic Reticulum|Entire cell|Entire liver|Hep G2 Cells|Hepatocyte|Malignant Epithelial Cell,0,"tissues, cell types and enzyme sources",M,NA,NA,NA
GSM889496,ctrl,GSE36355,GPL6883,,NA,Cells|Embryonic Stem Cells,NA,NA,NA,NA,NA,NA
GSM889498,ctrl,GSE36355,GPL6883,,NA,Cells|Embryonic Stem Cells,NA,NA,NA,NA,NA,NA
GSM109204,ctrl,GSE4917,GPL96,dexamethasone|ethanol,0,Cells [Chemical/Ingredient]|Entire breast,0,"tissues, cell types and enzyme sources",,female,0.962000603,NA
GSM109220,ctrl,GSE4917,GPL96,dexamethasone|ethanol,0,Cells [Chemical/Ingredient]|Entire breast,0,"tissues, cell types and enzyme sources",,female,0.906409709,NA
GSM889492,ctrl,GSE36355,GPL6883,,NA,Cells|Embryonic Stem Cells,NA,NA,NA,NA,NA,NA
GSM889494,ctrl,GSE36355,GPL6883,,NA,Cells|Embryonic Stem Cells,NA,NA,NA,NA,NA,NA
GSM889500,ctrl,GSE36355,GPL6883,,NA,Cells|Embryonic Stem Cells,NA,NA,NA,NA,NA,NA
GSM889502,ctrl,GSE36355,GPL6883,,NA,Cells|Embryonic Stem Cells,NA,NA,NA,NA,NA,NA
GSM718715,ctrl,GSE29008,GPL570,toxin,NA,Colon structure (body structure)|Cultured Cell Line|Epithelial Cells,NA,NA,NA,female,0.928323889,NA
GSM718716,ctrl,GSE29008,GPL570,toxin,NA,Colon structure (body structure)|Cultured Cell Line|Epithelial Cells,NA,NA,NA,female,0.956588393,NA
GSM718721,ctrl,GSE29008,GPL570,toxin,NA,Colon structure (body structure)|Cultured Cell Line|Epithelial Cells,NA,NA,NA,female,0.96641008,NA
GSM718722,ctrl,GSE29008,GPL570,toxin,NA,Colon structure (body structure)|Cultured Cell Line|Epithelial Cells,NA,NA,NA,female,0.925807028,NA
GSM1230854,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.971224951,NA
GSM1230855,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.952101768,NA
GSM1230856,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.933795978,NA
GSM912757,ctrl,GSE37170,GPL4133,,NA,Cultured Cell Line,NA,NA,NA,NA,NA,NA
GSM912759,ctrl,GSE37170,GPL4133,,NA,Cultured Cell Line,NA,NA,NA,NA,NA,NA
GSM672304,ctrl,GSE27210,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.948763909,FALSE
GSM672305,ctrl,GSE27210,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.928445187,FALSE
GSM672306,ctrl,GSE27210,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.949288493,FALSE
GSM725372,ctrl,GSE29344,GPL6883,,0,Cells|Cells [Chemical/Ingredient]|Entire skin|Fibroblasts|keratinocyte|Skin tissue,1253,skin,,NA,NA,FALSE
GSM725373,ctrl,GSE29344,GPL6883,,0,Cells|Cells [Chemical/Ingredient]|Entire skin|Fibroblasts|keratinocyte|Skin tissue,1253,skin,,NA,NA,FALSE
GSM725374,ctrl,GSE29344,GPL6883,,0,Cells|Cells [Chemical/Ingredient]|Entire skin|Fibroblasts|keratinocyte|Skin tissue,1253,skin,,NA,NA,FALSE
GSM725375,ctrl,GSE29344,GPL6883,,0,Cells|Cells [Chemical/Ingredient]|Entire skin|Fibroblasts|keratinocyte|Skin tissue,1253,skin,,NA,NA,FALSE
GSM725376,ctrl,GSE29344,GPL6883,,0,Cells|Cells [Chemical/Ingredient]|Entire skin|Fibroblasts|keratinocyte|Skin tissue,1253,skin,,NA,NA,FALSE
GSM725377,ctrl,GSE29344,GPL6883,,0,Cells|Cells [Chemical/Ingredient]|Entire skin|Fibroblasts|keratinocyte|Skin tissue,1253,skin,,NA,NA,FALSE
GSM823044,ctrl,GSE33264,GPL4133,,NA,Cells [Chemical/Ingredient]|Cultured Cell Line,NA,NA,NA,NA,NA,NA
GSM823045,ctrl,GSE33264,GPL4133,,NA,Cells [Chemical/Ingredient]|Cultured Cell Line,NA,NA,NA,NA,NA,NA
GSM823046,ctrl,GSE33264,GPL4133,,NA,Cells [Chemical/Ingredient]|Cultured Cell Line,NA,NA,NA,NA,NA,NA
GSM536417,ctrl,GSE21477,GPL570,formaldehyde,NA,Cells|Epithelial Cells|Nose,NA,NA,NA,male,0.797051271,NA
GSM536423,ctrl,GSE21477,GPL570,formaldehyde,NA,Cells|Epithelial Cells|Nose,NA,NA,NA,male,0.933699542,NA
GSM536429,ctrl,GSE21477,GPL570,formaldehyde,NA,Cells|Epithelial Cells|Nose,NA,NA,NA,female,0.826507187,NA
GSM536418,ctrl,GSE21477,GPL570,formaldehyde,NA,Cells|Epithelial Cells|Nose,NA,NA,NA,male,0.863499009,NA
GSM536424,ctrl,GSE21477,GPL570,formaldehyde,NA,Cells|Epithelial Cells|Nose,NA,NA,NA,male,0.918471303,NA
GSM536430,ctrl,GSE21477,GPL570,formaldehyde,NA,Cells|Epithelial Cells|Nose,NA,NA,NA,female,0.718337855,NA
GSM1503030,ctrl,GSE61364,GPL4685,"(2Z,3Z)-bis\{amino[(2-aminophenyl)sulfanyl]methylidene\}butanedinitrile|4,4'-diaminodiphenylmethane|dimethyl sulfoxide|inhibitor",1,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Entire breast,149,breast,,NA,NA,FALSE
GSM1503062,ctrl,GSE61364,GPL4685,"(2Z,3Z)-bis\{amino[(2-aminophenyl)sulfanyl]methylidene\}butanedinitrile|4,4'-diaminodiphenylmethane|dimethyl sulfoxide|inhibitor",1,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Entire breast,149,breast,,NA,NA,FALSE
GSM1230863,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.795540562,NA
GSM1230864,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.898476982,NA
GSM1230865,ctrl,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.822578359,NA
GSM1915068,ctrl,GSE63427,GPL10558,atorvastatin|dimethyl sulfoxide|Elongation factor 1-alpha 2,NA,Breast Cancer Cell|Cells|Cultured Cell Line|Entire breast,NA,NA,NA,NA,NA,NA
GSM1915069,ctrl,GSE63427,GPL10558,atorvastatin|dimethyl sulfoxide|Elongation factor 1-alpha 2,NA,Breast Cancer Cell|Cells|Cultured Cell Line|Entire breast,NA,NA,NA,NA,NA,NA
GSM1915070,ctrl,GSE63427,GPL10558,atorvastatin|dimethyl sulfoxide|Elongation factor 1-alpha 2,NA,Breast Cancer Cell|Cells|Cultured Cell Line|Entire breast,NA,NA,NA,NA,NA,NA
GSM1503026,ctrl,GSE61364,GPL4685,"(2Z,3Z)-bis\{amino[(2-aminophenyl)sulfanyl]methylidene\}butanedinitrile|4,4'-diaminodiphenylmethane|dimethyl sulfoxide|inhibitor",1,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Entire breast,149,breast,,NA,NA,FALSE
GSM1503058,ctrl,GSE61364,GPL4685,"(2Z,3Z)-bis\{amino[(2-aminophenyl)sulfanyl]methylidene\}butanedinitrile|4,4'-diaminodiphenylmethane|dimethyl sulfoxide|inhibitor",1,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Entire breast,149,breast,,NA,NA,FALSE
GSM775321,ctrl,GSE31286,GPL4133,cadmium atom,NA,Cultured Cell Line|Hep G2 Cells,NA,NA,NA,NA,NA,NA
GSM775322,ctrl,GSE31286,GPL4133,cadmium atom,NA,Cultured Cell Line|Hep G2 Cells,NA,NA,NA,NA,NA,NA
GSM775323,ctrl,GSE31286,GPL4133,cadmium atom,NA,Cultured Cell Line|Hep G2 Cells,NA,NA,NA,NA,NA,NA
GSM1820056,ctrl,GSE70821,GPL6480,,0,Body tissue|Cells|macrophage|Monocytes|peripheral blood|whole blood specimen,89,blood,M,NA,NA,FALSE
GSM1820060,ctrl,GSE70821,GPL6480,,0,Body tissue|Cells|macrophage|Monocytes|peripheral blood|whole blood specimen,89,blood,M,NA,NA,FALSE
GSM1820055,ctrl,GSE70821,GPL6480,,0,Body tissue|Cells|macrophage|Monocytes|peripheral blood|whole blood specimen,89,blood,M,NA,NA,FALSE
GSM1820059,ctrl,GSE70821,GPL6480,,0,Body tissue|Cells|macrophage|Monocytes|peripheral blood|whole blood specimen,89,blood,M,NA,NA,FALSE
GSM1815466,ctrl,GSE71102,GPL10558,dexamethasone|ethanol|solvent,1,Cultured Cell Line|Lymphoma cells,1518,B-lymphoma cell line,,NA,NA,TRUE
GSM1815467,ctrl,GSE71102,GPL10558,dexamethasone|ethanol|solvent,1,Cultured Cell Line|Lymphoma cells,1518,B-lymphoma cell line,,NA,NA,TRUE
GSM1816498,ctrl,GSE70690,GPL570,dimethyl sulfoxide|docetaxel anhydrous,1,"Body tissue|Cells [Chemical/Ingredient]|Cultured Cell Line|Entire breast|Mammary gland|Squamous epithelial cell|Tumor cells, malignant",817,mammary gland,F,female,0.840637572,FALSE
GSM1816499,ctrl,GSE70690,GPL570,dimethyl sulfoxide|docetaxel anhydrous,1,"Body tissue|Cells [Chemical/Ingredient]|Cultured Cell Line|Entire breast|Mammary gland|Squamous epithelial cell|Tumor cells, malignant",817,mammary gland,F,female,0.872844815,FALSE
GSM1031980,ctrl,GSE42071,GPL6884,,NA,Cells [Chemical/Ingredient]|Cultured Cell Line|Megakaryocytes,NA,NA,NA,NA,NA,NA
GSM1031981,ctrl,GSE42071,GPL6884,,NA,Cells [Chemical/Ingredient]|Cultured Cell Line|Megakaryocytes,NA,NA,NA,NA,NA,NA
GSM1031987,ctrl,GSE42071,GPL6884,,NA,Cells [Chemical/Ingredient]|Cultured Cell Line|Megakaryocytes,NA,NA,NA,NA,NA,NA
GSM623474,ctrl,GSE25338,GPL11209,tacrolimus hydrate,0,Allograft liver|Body tissue|Entire liver|Hepatic,759,liver,,NA,NA,FALSE
GSM623475,ctrl,GSE25338,GPL11209,tacrolimus hydrate,0,Allograft liver|Body tissue|Entire liver|Hepatic,759,liver,,NA,NA,FALSE
GSM623476,ctrl,GSE25338,GPL11209,tacrolimus hydrate,0,Allograft liver|Body tissue|Entire liver|Hepatic,759,liver,,NA,NA,FALSE
GSM623477,ctrl,GSE25338,GPL11209,tacrolimus hydrate,0,Allograft liver|Body tissue|Entire liver|Hepatic,759,liver,,NA,NA,FALSE
GSM623478,ctrl,GSE25338,GPL11209,tacrolimus hydrate,0,Allograft liver|Body tissue|Entire liver|Hepatic,759,liver,,NA,NA,FALSE
GSM623479,ctrl,GSE25338,GPL11209,tacrolimus hydrate,0,Allograft liver|Body tissue|Entire liver|Hepatic,759,liver,,NA,NA,FALSE
GSM623480,ctrl,GSE25338,GPL11209,tacrolimus hydrate,0,Allograft liver|Body tissue|Entire liver|Hepatic,759,liver,,NA,NA,FALSE
GSM618009,ctrl,GSE25146,GPL570,lipopolysaccharide|Van der Woude syndrome,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Stomach,1007,AGS cell,,male,0.61273475,TRUE
GSM618010,ctrl,GSE25146,GPL570,lipopolysaccharide|Van der Woude syndrome,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Stomach,1007,AGS cell,,male,0.659328931,TRUE
GSM618013,ctrl,GSE25147,GPL570,lipopolysaccharide|Van der Woude syndrome,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Stomach,1225,MKN-45 cell,,male,0.639030822,TRUE
GSM618014,ctrl,GSE25147,GPL570,lipopolysaccharide|Van der Woude syndrome,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Stomach,1225,MKN-45 cell,,male,0.664500654,TRUE
GSM672331,ctrl,GSE27210,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.94609544,FALSE
GSM672332,ctrl,GSE27210,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.929112105,FALSE
GSM672333,ctrl,GSE27210,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.927059167,FALSE
GSM1304428,ctrl,GSE53965,GPL6244,dimethyl sulfoxide|Nutlin,NA,Cultured Cell Line,NA,NA,NA,male,0.999574177,NA
GSM1304429,ctrl,GSE53965,GPL6244,dimethyl sulfoxide|Nutlin,NA,Cultured Cell Line,NA,NA,NA,male,0.999722779,NA
GSM1304430,ctrl,GSE53965,GPL6244,dimethyl sulfoxide|Nutlin,NA,Cultured Cell Line,NA,NA,NA,male,0.999706366,NA
