gsm	text_sex
GSM190151	male
GSM190156	male
GSM252855	male
GSM252856	male
GSM252857	female
GSM252860	male
GSM252861	male
GSM252863	male
GSM252865	female
GSM252867	male
GSM252871	male
GSM252872	male
GSM252874	male
GSM252876	male
GSM252879	male
GSM252881	male
GSM252882	male
GSM252884	female
GSM252885	male
GSM254151	male
GSM254152	male
GSM254157	male
GSM298220	male
GSM298224	male
GSM298226	female
GSM298227	male
GSM298228	female
GSM298235	female
GSM298236	male
GSM298240	male
GSM298243	male
GSM298245	male
GSM300859	female
GSM300881	male
GSM300882	male
GSM300883	male
GSM300884	male
GSM300885	male
GSM300886	male
GSM300887	female
GSM300888	male
GSM300889	female
GSM300890	male
GSM300893	male
GSM300894	female
GSM300895	male
GSM300896	male
GSM300897	male
GSM300900	male
GSM300905	male
GSM300907	male
GSM300910	male
GSM300911	male
GSM300912	male
GSM350955	male
GSM350956	female
GSM350957	male
GSM350958	female
GSM350959	male
GSM350960	female
GSM350961	female
GSM350962	male
GSM350963	female
GSM350964	male
GSM350965	male
GSM350966	female
GSM350967	female
GSM350968	male
GSM350969	female
GSM350970	female
GSM350971	female
GSM350972	male
GSM350973	male
GSM350974	male
GSM350975	female
GSM350976	male
GSM350977	male
GSM350978	male
GSM350979	male
GSM350980	male
GSM350981	male
GSM350982	male
GSM410161	female
GSM410162	male
GSM410163	male
GSM410164	male
GSM410165	male
GSM1283115	female
GSM1283116	female
GSM1283117	female
GSM1283118	male
GSM1283119	female
GSM1283120	female
GSM1283121	male
GSM1283122	male
GSM1283123	female
GSM1283124	female
GSM1283125	male
GSM1283126	male
GSM1283127	male
GSM1283128	female
GSM1283129	male
GSM1283130	female
GSM1283131	female
GSM1283132	female
GSM1283133	female
GSM1283134	female
GSM1283135	female
GSM1283136	female
GSM1283137	male
GSM1283138	female
GSM1283139	female
GSM1283140	female
GSM1283141	female
GSM1685398	female
GSM1685399	female
GSM1685400	male
GSM1685401	male
GSM1685402	female
GSM1685403	female
GSM1685404	male
GSM1685405	male
GSM1685406	female
GSM1685407	female
GSM1685408	male
GSM1685409	male
GSM1685410	female
GSM1685411	female
GSM1685412	male
GSM1685413	male
GSM550623	female
GSM550624	male
