,X,samp_ids,type,geo_id,platform.new,drug_name,DiseaseState,cell_type,TissueID,TissueName,ale_text_sex,ale_expr_sex,ale_expr_sex_post,cell_line,toker_sex
1,196,GSM411198,ctrl,GSE16385,GPL570,donor|rosiglitazone,0,Body tissue|macrophage|Monocytes,801,macrophage,,female,0.695159643,FALSE,female
2,22,GSM536430,ctrl,GSE21477,GPL570,formaldehyde,NA,Cells|Epithelial Cells|Nose,NA,NA,NA,female,0.718337855,NA,female
,,,,GSE27202,,,,,,,,,,,
4,302,GSM672190,ctrl,GSE27208,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.941898078,FALSE,male
5,650,GSM672335,pert,GSE27210,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.948468446,FALSE,female
6,10,GSM718722,ctrl,GSE29008,GPL570,toxin,NA,Colon structure (body structure)|Cultured Cell Line|Epithelial Cells,NA,NA,NA,female,0.925807028,NA,female
7,674,GSM1093799,pert,GSE44905,GPL570,androgen|enzalutamide|inhibitor|N(6)-(1-carboxyethyl)-L-lysine,1,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Left supraclavicular lymph node|Prostate,1130,prostate gland cancer cell,M,male,0.964892799,FALSE,male
8,881,GSM1230563,pert,GSE50830,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",,female,0.614409106,NA,male
9,559,GSM1230716,pert,GSE50831,GPL570,eribulin|paclitaxel,1,"Cells|Cultured Cell Line|Ovarian|Tumor cells, malignant",0,"tissues, cell types and enzyme sources",F,female,0.823460686,NA,male
10,1143,GSM189452,pert,GSE7807,GPL570,"1D-myo-inositol 1,4,5-trisphosphate|antagonist|calcium atom|cysteinyl group|donor|ethanol|inhibitor|inositol|leukotriene|leukotriene D4|leukotriene D4(1-)|oligonucleotide|triphosphate(5-)",0,Cells [Chemical/Ingredient]|Dendritic Cells|eosinophil|Monocytes,876,monocyte,,male,0.754595385,FALSE,male
,,,,,,,,,,,,,,,
128,GSM672076,ctrl,GSE27202,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.965940495,FALSE,,
129,GSM672082,ctrl,GSE27202,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.967234981,FALSE,,
130,GSM672088,ctrl,GSE27202,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.975301998,FALSE,,
131,GSM672094,ctrl,GSE27202,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.96285844,FALSE,,
132,GSM672095,ctrl,GSE27202,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.963969095,FALSE,,
133,GSM672096,ctrl,GSE27202,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.959869074,FALSE,,
,,,,,,,,,,,,,,,
176,GSM672208,ctrl,GSE27208,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.907146435,FALSE,,
177,GSM672209,ctrl,GSE27208,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.89489756,FALSE,,
178,GSM672210,ctrl,GSE27208,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.928228064,FALSE,,
,,,,,,,,,,,,,,,
305,GSM672313,ctrl,GSE27210,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.900515154,FALSE,,
306,GSM672314,ctrl,GSE27210,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.847784735,FALSE,,
307,GSM672315,ctrl,GSE27210,GPL570,biomarker,0,Cells|Cells [Chemical/Ingredient]|Cultured Cell Line|Epithelial Cells|Kidney,414,epithelial cell,,female,0.927357439,FALSE,,
,,,,,,,,,,,,,,,
,,,GSE train,GSE16385,GSE21477,GSE27202,GSE27208,GSE23394,,,,,,,
,,,GSE test,GSE27210,GSE44905,GSE50830,GSE50831,GSE7807,,,,,,,
