,hgnc_symbol
1,RNU6-303P
2,RNA5SP518
3,RNU2-57P
4,DAZ1
5,PRY
6,RBMY2UP
7,TXLNGY
8,TBL1YP1
9,OFD1P10Y
10,RNU1-128P
11,TGIF2LY
12,EEF1A1P41
13,USP9YP21
14,TAF9P2
15,CDY9P
16,XKRY2
17,USP9YP6
18,TTTY6
19,RCC2P2
20,KDM5D
21,RBMY1B
22,TTTY2B
23,TRAPPC2P9
24,PRYP3
25,RNU6-1314P
26,ZNF736P3Y
27,CDY13P
28,RNU6-255P
29,RNA5SP519
30,RNU1-86P
31,TSPY21P
32,PRY2
33,RNA5-8SP6
34,XKRYP3
35,RNU1-48P
36,RNU6-521P
37,RNA5SP523
38,TTTY6B
39,RBMY1D
40,TBL1Y
41,RBMY1A1
42,RBMY1HP
43,CD24P4
44,MTCYBP2
45,TTTY7
46,LINC00280
47,ANOS2P
48,HSFY6P
49,USP9YP18
50,CDY14P
51,RN7SL818P
52,RNU6-109P
53,RNU1-97P
54,USP9YP29
55,USP9YP25
56,TRIM60P9Y
57,HSFY7P
58,RBMY1F
59,RAB9AP1
60,REREP1Y
61,TTTY17A
62,ZNF736P11Y
63,TTTY4
64,RBMY2FP
65,TSPY23P
66,ZNF92P1Y
67,TTTY12
68,RFTN1P1
69,TTTY16
70,RBMY2HP
71,RNA5SP520
72,RNA5SP522
73,OFD1P16Y
74,CDY11P
75,RNU1-107P
76,RNU1-40P
77,HSFY2
78,TTTY10
79,AGPAT5P1
80,CTBP2P1
81,RNU6-1334P
82,BPY2
83,TTTY5
84,OFD1P8Y
85,GPR143P
86,PRKY
87,RBMY1E
88,RBMY2AP
89,RBMY2CP
90,DAZ2
91,RBMY1KP
92,RBMY2TP
93,OFD1P7Y
94,GAPDHP17
95,ZNF885P
96,XKRYP1
97,TTTY9B
98,RNF19BPY
99,LINC00278
100,USP9YP26
101,OFD1P9Y
102,TRIM60P8Y
103,TTTY25P
104,ELOCP6
105,DUX4L31
106,RBMY2QP
107,CDY20P
108,CDY1
109,TSPY20P
110,TSPY5P
111,TTTY8B
112,RAB9AP4
113,CLUHP2
114,TSPY19P
115,TSPY2
116,TMSB4Y
117,TRAPPC2P7
118,EIF4A1P2
119,VDAC1P6
120,REREP2Y
121,PPP1R12BP1
122,TSPY12P
123,AMELY
124,GOT2P5
125,TTTY21B
126,RPL26P37
127,GPM6BP2
128,ELOCP7
129,PRYP5
130,GPM6BP1
131,HSFY8P
132,FAM41AY2
133,FAM224A
134,STSP1
135,NLGN4Y
136,VCY1B
137,RBMY2GP
138,USP9YP1
139,USP12PY
140,HSFY3P
141,RPS4Y1
142,NAP1L1P2
143,ELOCP16
144,PPP1R12BP2
145,USP9YP24
146,ELOCP8
147,RBMY1J
148,TSPY17P
149,TTTY23B
150,DLGAP5P1
151,USP9YP3
152,SRIP3
153,TTTY14
154,RBMY2EP
155,PRORY
156,USP9YP2
157,SNX3P1Y
158,TPTE2P4
159,USP9YP20
160,OFD1P18Y
161,RBMY2WP
162,ELOCP15
163,TMEM167AP1
164,RBMY2BP
165,TSPY22P
166,TTTY13
167,TTTY15
168,MED14P1
169,SLC9B1P1
170,TSPY16P
171,HSFY5P
172,USP9YP8
173,BCORP1
174,GAPDHP19
175,ZNF839P1
176,USP9YP28
177,OFD1P6Y
178,ELOCP5
179,FAM197Y10
180,TTTY1B
181,ELOCP14
182,UBE2V1P3
183,XKRY
184,FAM8A4P
185,MXRA5Y
186,DUX4L16
187,TTTY17C
188,RBMY2YP
189,LINC00265-3P
190,CICP1
191,LINC00266-4P
192,UBE2Q2P5Y
193,GOLGA2P3Y
194,DNM1P48
195,CSPG4P4Y
196,CSPG4P1Y
197,GOLGA6L16P
198,CDY19P
199,USP9YP36
200,TTTY4C
201,ZNF736P4Y
202,NEFLP1
203,TOMM22P1
204,RPS4Y2
205,USP9YP10
206,CDY10P
207,PRYP6
208,USP9YP5
209,PCDH11Y
210,KRT18P10
211,SERBP1P2
212,ZNF886P
213,ATP5PFP1
214,FAM197Y9
215,EIF1AY
216,KDM5DP1
217,XKRYP2
218,UTY
219,PABPC1P5
220,DUX4L18
221,TTTY7B
222,TTTY21
223,TTTY2
224,TTTY1
225,TTTY22
226,RBMY2NP
227,TSPY18P
228,TSPY13P
229,TTTY23
230,RBMY2OP
231,ZNF736P1Y
232,ZNF736P5Y
233,PARP4P1
234,SLC25A15P1
235,ANKRD36P1
236,USP9YP23
237,PNPLA4P1
238,CDY12P
239,USP9YP17
240,HSFY1
241,ELOCP11
242,PRYP4
243,XKRYP6
244,CDY2A
245,PRYP1
246,CDY4P
247,TRAPPC2P5
248,RAB9AP2
249,USP9YP30
250,USP9YP9
251,TTTY3
252,GYG2P1
253,TSPY14P
254,HSFY4P
255,TSPY11P
256,OFD1P5Y
257,CYCSP49
258,CDY23P
